업체명,신용평가 대상,신용등급,사업수행실적,사고사망만인율,산업재해예방활동 실적,산업 안전보건관리비 사용의무 위반,산업재해발생 보고의무 위반,산업안전보건법령 위반,환경관련볍 위반,국가고객 만족지수,회사채 또는 기업어음 등급 평가,회사채 또는 기업어음 등급,동반성장 지수,건설현장 불법행위 신고,사업계획 이행 노력도,하자처리 이행 노력도,품질미흡 통지서,품질우수 통지서,벌점
경화건설,#N/A,#N/A,,0.00,#N/A,#N/A,#N/A,0 회,해당없음,#N/A,#N/A,#N/A,#N/A,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
대보실업,#N/A,#N/A,#N/A,44.65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A
대방건설,기업신용,A+,"5,000 ",0.00,85,해당없음,0,0 회,해당없음,#N/A,,,미흡,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
BS한양,기업신용,#N/A,"2,692 ",0.33,90,해당없음,0,0 회,해당없음,#N/A,기업어음,A3+,우수,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
이수건설,기업신용,,0 ,2.45,100,,0,0 회,해당없음,#N/A,,,해당없음,0,0,0,#N/A,#N/A,#N/A
대저건설,기업신용,#N/A,#N/A,0.23,86.5,,0,0 회,해당없음,#N/A,,,#N/A,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
엔알비,기업신용,#N/A,#N/A,,75,해당없음,0,0 회,해당없음,#N/A,,,#N/A,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
진흥기업,기업신용,,0 ,0.00,80,,0,0 회,해당없음,#N/A,,,해당없음,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
금성백조주택,#N/A,#N/A,0 ,0.30,#N/A,#N/A,#N/A,0 회,#N/A,#N/A,#N/A,#N/A,해당없음,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
CNC,기업신용,#N/A,0 ,0.88,87,해당없음,0,0 회,해당없음,#N/A,,,해당없음,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
동원개발,기업신용,#N/A,0 ,0.86,없음,해당없음,0,0 회,해당없음,#N/A,,,해당없음,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
신성건설,기업신용,#N/A,0 ,0.00,100,해당없음,0,0 회,해당없음,#N/A,,,#N/A,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
브이산업,기업신용,#N/A,#N/A,0.00,85,해당없음,0,0 회,해당없음,#N/A,,,#N/A,0,0,0,#N/A,#N/A,#N/A
청우건설,기업신용,#N/A,0 ,,#N/A,,#N/A,#N/A,#N/A,#N/A,,,해당없음,0,0,0,#N/A,#N/A,#N/A
롯데건설,기업어음,#N/A,0 ,0.97,#N/A,#N/A,#N/A,#N/A,#N/A,  79.33 ,기업어음,,우수,0,0,0,#N/A,#N/A,#N/A
신동아종합건설,기업신용,A0,76 ,1.14,77,해당없음,0,0 회,해당없음,#N/A,#N/A,#N/A,#N/A,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
쌍용건설,#N/A,#N/A,0 ,0.56,94,해당없음,0,0 회,해당없음,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A
고덕종합,#N/A,#N/A,0 ,0.81,80,해당없음,0,0 회,해당없음,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A
호반건설,기업어음,#N/A,#N/A,0.64,#N/A,,#N/A,#N/A,#N/A,#N/A,기업어음,,#N/A,0,0,0,#N/A,최근1년 0회,#N/A
대승글로벌,#N/A,#N/A,0 ,0.00,없음,해당없음,#N/A,0 회,해당없음,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A
지아이,기업신용,#N/A,,0.00,없음,해당없음,0,0 회,해당없음,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A
호반산업,기업신용,#N/A,0 ,1.57,#N/A,,#N/A,#N/A,#N/A,#N/A,,,해당없음,0,0,0,#N/A,#N/A,#N/A
케이지eng,기업신용,#N/A,#N/A,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,0,0,#N/A,#N/A,#N/A
은성산업,기업신용,#N/A,#N/A,0.00,#N/A,,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,0,0,#N/A,#N/A,#N/A
대창기업,기업신용,#N/A,#N/A,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,0,0,#N/A,#N/A,#N/A
흥한주택종합건설,#N/A,#N/A,0 ,0.00,0,해당없음,0,0 회,해당없음,#N/A,#N/A,#N/A,해당없음,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
우호건설,기업신용,#N/A,0 ,0.00,100,해당없음,0,0 회,해당없음,#N/A,,,#N/A,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
신흥디앤씨,#N/A,#N/A,0 ,0.00,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,해당없음,0,0,0,#N/A,#N/A,#N/A
